transcript	si-eIF5A-1
YAR023C_mRNA	0.01675977653631285
YJL124C_mRNA	0.7151162790697675
YOR002W_mRNA	0.17647058823529413
YHR072W-A_mRNA	0.7758620689655172
YJR093C_mRNA	0.8165137614678899
YHR031C_mRNA	0.20055325034578148
YML085C_mRNA	0.5861297539149888
YML068W_mRNA	0.07112068965517242
YGR091W_mRNA	0.11740890688259109
YJL141C_mRNA	0.5662949194547707
YGR145W_mRNA	0.31966053748231965
YER169W_mRNA	0.22989949748743718
YMR197C_mRNA	0.8110599078341014
YLR252W_mRNA	0.06930693069306931
YKL055C_mRNA	0.23381294964028776
YMR298W_mRNA	0.68
YOR189W_mRNA	0.5689655172413793
YOL133W_mRNA	0.7272727272727273
YOR054C_mRNA	0.47774480712166173
YPR101W_mRNA	0.4114285714285714
YMR203W_mRNA	0.6175710594315246
YPR063C_mRNA	0.9
YPL195W_mRNA	0.22854077253218885
YDR034C-A_mRNA	0.0
YHR178W_mRNA	0.07537012113055182
YPL122C_mRNA	0.3333333333333333
YKR094C_mRNA	0.6171875
YGL125W_mRNA	0.17166666666666666
YFL046W_mRNA	0.28019323671497587
YPL224C_mRNA	0.33264462809917356
YLR220W_mRNA	0.5248447204968945
YJL042W_mRNA	0.148068669527897
YOR297C_mRNA	0.4479166666666667
YAL040C_mRNA	0.13275862068965516
YDR460W_mRNA	0.3426791277258567
YDL121C_mRNA	0.7315436241610739
YDR104C_mRNA	0.18875502008032127
YHR163W_mRNA	0.37349397590361444
YLR420W_mRNA	0.510989010989011
YLR230W_mRNA	0.0
YBR091C_mRNA	0.7339449541284404
YNL201C_mRNA	0.3764568764568765
YLR241W_mRNA	0.19820971867007672
YNR074C_mRNA	0.5132275132275133
YHL048W_mRNA	0.11286089238845144
YER039C-A_mRNA	0.5
YDR354C-A_mRNA	0.0
YOR300W_mRNA	0.0196078431372549
YLR181C_mRNA	0.4727272727272727
YIR030W-A_mRNA	0.0
YLR004C_mRNA	0.02676864244741874
YDR432W_mRNA	0.893719806763285
YJR051W_mRNA	0.27944111776447106
YHR126C_mRNA	0.006289308176100629
YKL093W_mRNA	0.10029498525073746
YLR345W_mRNA	0.2730844793713163
YCL027W_mRNA	0.42578125
